,Date,TIME,NB,SB,EB,WB
423,2013-02-16,09:45:00,,,,
424,2013-02-16,10:00:00,,,,
425,2013-02-16,10:15:00,,,,
426,2013-02-16,10:30:00,,,,
427,2013-02-16,10:45:00,,,,
428,2013-02-16,11:00:00,,,,
429,2013-02-16,11:15:00,,,,
430,2013-02-16,11:30:00,,,,
431,2013-02-16,11:45:00,,,,
432,2013-02-16,12:00:00,,,,
433,2013-02-16,12:15:00,,,,
434,2013-02-16,12:30:00,,,,
435,2013-02-16,12:45:00,,,,
436,2013-02-16,13:00:00,,,,
437,2013-02-16,13:15:00,,,,
438,2013-02-16,13:30:00,,,,
439,2013-02-16,13:45:00,,,,
440,2013-02-16,14:00:00,,,,
441,2013-02-16,14:15:00,,,,
442,2013-02-16,14:30:00,,,,
443,2013-02-16,14:45:00,,,,
444,2013-02-16,15:00:00,,,,
445,2013-02-16,15:15:00,,,,
446,2013-02-16,15:30:00,,,,
447,2013-02-16,15:45:00,,,,
448,2013-02-16,16:00:00,,,,
449,2013-02-16,16:15:00,,,,
450,2013-02-16,16:30:00,,,,
451,2013-02-16,16:45:00,,,,
452,2013-02-16,17:00:00,,,,
453,2013-02-16,17:15:00,,,,
454,2013-02-16,17:30:00,,,,
455,2013-02-16,17:45:00,,,,
456,2013-02-16,18:00:00,,,,
457,2013-02-16,18:15:00,,,,
458,2013-02-16,18:30:00,,,,
459,2013-02-16,18:45:00,,,,
460,2013-02-16,19:00:00,,,,
461,2013-02-16,19:15:00,,,,
462,2013-02-16,19:30:00,,,,
463,2013-02-16,19:45:00,,,,
464,2013-02-16,20:00:00,,,,
465,2013-02-16,20:15:00,,,,
466,2013-02-16,20:30:00,,,,
467,2013-02-16,20:45:00,,,,
468,2013-02-16,21:00:00,,,,
469,2013-02-16,21:15:00,,,,
470,2013-02-16,21:30:00,,,,
471,2013-02-16,21:45:00,,,,
472,2013-02-16,22:00:00,,,,
473,2013-02-16,22:15:00,,,,
474,2013-02-16,22:30:00,,,,
475,2013-02-16,22:45:00,,,,
476,2013-02-16,23:00:00,,,,
477,2013-02-16,23:15:00,,,,
478,2013-02-16,23:30:00,,,,
479,2013-02-16,23:45:00,,,,
480,2013-02-17,00:00:00,,,,
481,2013-02-17,00:15:00,,,,
482,2013-02-17,00:30:00,,,,
483,2013-02-17,00:45:00,,,,
484,2013-02-17,01:00:00,,,,
485,2013-02-17,01:15:00,,,,
486,2013-02-17,01:30:00,,,,
487,2013-02-17,01:45:00,,,,
488,2013-02-17,02:00:00,,,,
489,2013-02-17,02:15:00,,,,
490,2013-02-17,02:30:00,,,,
491,2013-02-17,02:45:00,,,,
492,2013-02-17,03:00:00,,,,
493,2013-02-17,03:15:00,,,,
494,2013-02-17,03:30:00,,,,
495,2013-02-17,03:45:00,,,,
496,2013-02-17,04:00:00,,,,
497,2013-02-17,04:15:00,,,,
498,2013-02-17,04:30:00,,,,
499,2013-02-17,04:45:00,,,,
500,2013-02-17,05:00:00,,,,
501,2013-02-17,05:15:00,,,,
502,2013-02-17,05:30:00,,,,
503,2013-02-17,05:45:00,,,,
504,2013-02-17,06:00:00,,,,
505,2013-02-17,06:15:00,,,,
506,2013-02-17,06:30:00,,,,
507,2013-02-17,06:45:00,,,,
508,2013-02-17,07:00:00,,,,
509,2013-02-17,07:15:00,,,,
510,2013-02-17,07:30:00,,,,
511,2013-02-17,07:45:00,,,,
512,2013-02-17,08:00:00,,,,
513,2013-02-17,08:15:00,,,,
514,2013-02-17,08:30:00,,,,
515,2013-02-17,08:45:00,,,,
516,2013-02-17,09:00:00,,,,
517,2013-02-17,09:15:00,,,,
518,2013-02-17,09:30:00,,,,
519,2013-02-17,09:45:00,,,,
520,2013-02-17,10:00:00,,,,
521,2013-02-17,10:15:00,,,,
522,2013-02-17,10:30:00,,,,
523,2013-02-17,10:45:00,,,,
524,2013-02-17,11:00:00,,,,
525,2013-02-17,11:15:00,,,,
526,2013-02-17,11:30:00,,,,
527,2013-02-17,11:45:00,,,,
528,2013-02-17,12:00:00,,,,
529,2013-02-17,12:15:00,,,,
530,2013-02-17,12:30:00,,,,
531,2013-02-17,12:45:00,,,,
532,2013-02-17,13:00:00,,,,
533,2013-02-17,13:15:00,,,,
534,2013-02-17,13:30:00,,,,
535,2013-02-17,13:45:00,,,,
536,2013-02-17,14:00:00,,,,
537,2013-02-17,14:15:00,,,,
538,2013-02-17,14:30:00,,,,
539,2013-02-17,14:45:00,,,,
540,2013-02-17,15:00:00,,,,
541,2013-02-17,15:15:00,,,,
542,2013-02-17,15:30:00,,,,
543,2013-02-17,15:45:00,,,,
544,2013-02-17,16:00:00,,,,
545,2013-02-17,16:15:00,,,,
546,2013-02-17,16:30:00,,,,
547,2013-02-17,16:45:00,,,,
548,2013-02-17,17:00:00,,,,
549,2013-02-17,17:15:00,,,,
550,2013-02-17,17:30:00,,,,
551,2013-02-17,17:45:00,,,,
